,Unnamed: 0,Date,Open,High,Low,Close,Volume,Predicted Price,21 SMA,50 SMA,100 SMA,200 SMA,14 RSI,Upper BBand,Middle BBand,Lower BBand,MACD,MACD Signal,MACD Trend,52-week high,52-week low,21-avg volume,First Resistance,Second Resistance,Third Resistance,First Support,Second Support,Third Support
0,1311,2019-05-23,26.3899,26.3899,26.1671,26.3793,4075959.0,25.283709,,,,,,,,,,,NaN,NaN,NaN,NaN,26.4571,26.5349,26.6799,26.2343,26.0893,26.0115
1,1312,2019-05-24,26.153,26.6976,25.1664,25.757,2082237.0,25.580389,,,,,,,,,,,NaN,NaN,NaN,NaN,26.58093333333333,27.404866666666667,28.112133333333333,25.04973333333333,24.342466666666663,23.518533333333327
2,1313,2019-05-27,25.619,27.0441,25.1098,26.7612,2855971.0,26.112906,,,,,,,,,,,NaN,NaN,NaN,NaN,27.50026666666666,28.23933333333333,29.43456666666666,25.56596666666666,24.37073333333333,23.63166666666666
3,1314,2019-05-28,27.0512,27.4048,25.4246,25.612,2236645.0,26.799137,,,,,,,,,,,NaN,NaN,NaN,NaN,26.869666666666664,28.127333333333333,28.849866666666664,24.889466666666664,24.166933333333333,22.909266666666664
4,1315,2019-05-29,25.9903,26.892,25.9903,26.892,1604027.0,27.234343,,,,,,,,,,,NaN,NaN,NaN,NaN,27.19256666666666,27.49313333333333,28.09426666666666,26.290866666666663,25.689733333333333,25.389166666666664
5,1316,2019-05-30,27.8821,28.2358,27.8114,28.2358,941433.0,27.60491,,,,,,,,,,,NaN,NaN,NaN,NaN,28.37726666666667,28.518733333333337,28.801666666666673,27.95286666666667,27.669933333333333,27.528466666666667
6,1317,2019-05-31,27.8821,28.2358,27.8114,28.2358,941433.0,27.938171,,,,,,,,,,,NaN,NaN,NaN,NaN,28.37726666666667,28.518733333333337,28.801666666666673,27.95286666666667,27.669933333333333,27.528466666666667
7,1318,2019-06-03,29.6467,29.6467,29.5264,29.6467,2676960.0,28.478214,,,,,,,,,,,NaN,NaN,NaN,NaN,29.6868,29.7269,29.807100000000002,29.5665,29.4863,29.4462
8,1319,2019-06-04,29.6467,29.6467,29.5264,29.6467,2676960.0,28.784536,,,,,,,,,,,NaN,NaN,NaN,NaN,29.6868,29.7269,29.807100000000002,29.5665,29.4863,29.4462
9,1320,2019-06-05,29.6467,29.6467,29.5264,29.6467,2676960.0,29.659315,,,,,,,,,,,NaN,NaN,NaN,NaN,29.6868,29.7269,29.807100000000002,29.5665,29.4863,29.4462
