Date,Open,High,Low,Close,Volume
2003-05-02,9.7914,11.0153,9.8322,11.0153,505916.0
2003-05-05,11.0153,11.9945,10.6889,11.8313,1360067.0
2003-05-06,11.8313,12.3616,11.1785,11.2193,2370072.0
2003-05-07,11.2193,11.9129,11.0969,11.0969,2079673.0
2003-05-08,11.0969,11.2601,10.280999999999999,10.3626,4335898.0
2003-05-09,10.3626,11.1785,10.3218,10.7705,4329201.0
2003-05-12,10.7705,11.2193,10.6074,11.2193,2413297.0
2003-05-13,11.2193,12.2393,11.1377,11.5865,5685615.0
2003-05-14,11.5865,11.8721,11.1377,11.3825,4160563.0
2003-05-15,11.5865,11.8721,11.1377,11.3825,4160563.0
2003-05-16,11.3825,11.7497,11.2193,11.6681,2109504.0
2003-05-19,11.6681,11.8313,11.4641,11.5457,869371.0
2003-05-20,11.5457,11.5865,10.9745,11.2193,1491568.0
2003-05-21,11.2193,11.5049,10.8113,11.5049,3254054.0
2003-05-22,11.5049,11.6681,11.4641,11.4641,1008179.0
2003-05-23,11.4641,12.687999999999999,11.2601,12.687999999999999,7513852.0
2003-05-26,12.687999999999999,13.9119,13.1368,13.9119,8225543.0
2003-05-27,13.9119,14.3607,13.504000000000001,13.5856,9644664.0
2003-05-28,13.5856,14.1975,13.2184,13.3408,8462368.0
2003-05-29,13.3408,13.6264,12.7696,13.1776,2571586.0
2003-05-30,13.1776,13.3816,12.8512,13.0144,2306147.0
2003-06-02,13.0144,13.3,12.1985,12.3208,2592894.0
2003-06-03,12.3208,12.7696,11.9537,12.687999999999999,3481138.0
2003-06-04,12.687999999999999,13.1368,12.5656,13.0552,4075939.0
2003-06-05,13.0552,13.3,12.7696,12.8512,2853462.0
2003-06-06,12.8512,13.4632,12.7696,13.2184,4991580.0
2003-06-09,13.2184,13.4632,13.095999999999998,13.3,2320759.0
2003-06-10,13.3,13.6672,13.0552,13.0552,4816853.0
2003-06-11,13.0552,14.2791,12.9736,13.8304,22772293.0
2003-06-12,13.8304,15.0543,14.4015,15.0543,17861076.0
2003-06-13,15.0543,15.9926,15.1767,15.4215,19373343.0
2003-06-16,15.4215,15.5031,14.6055,14.6055,4976968.0
2003-06-17,14.6055,14.8095,13.9935,14.2383,4440004.0
2003-06-18,14.2383,14.4831,13.7488,13.9119,6151350.0
2003-06-19,13.9119,14.0343,13.3816,13.3816,3104289.0
2003-06-20,13.3816,14.6055,13.3408,14.6055,11010210.0
2003-06-23,14.6055,15.0543,14.4423,14.6871,6959232.0
2003-06-24,14.6871,14.8911,14.3199,14.5239,3869555.0
2003-06-25,14.5239,14.8095,14.4015,14.5647,2707349.0
2003-06-26,14.5647,14.6871,13.7896,14.3607,4366947.0
2003-06-27,14.3607,14.5239,13.9527,14.0751,1663860.0
2003-06-30,14.0751,14.0751,13.2592,13.4224,3843985.0
2003-07-01,13.4224,13.6672,13.3816,13.5856,1654119.0
2003-07-02,13.5856,13.6672,13.1776,13.3816,982609.0
2003-07-03,13.3816,13.6264,13.2184,13.504000000000001,1380157.0
2003-07-04,13.504000000000001,14.1975,13.3816,13.6264,6179355.0
2003-07-07,13.6264,13.9527,13.3,13.708,3062281.0
2003-07-08,13.708,13.9119,13.708,13.708,584451.0
2003-07-09,13.708,14.0343,13.7896,13.9119,2470524.0
2003-07-10,13.9119,14.2791,13.9935,14.0343,6114213.0
2003-07-11,14.0343,14.2791,13.9935,13.9935,3700916.0
2003-07-14,13.9935,15.2175,13.9935,14.9319,18015103.0
2003-07-15,14.9319,15.2583,14.1159,14.1159,5546808.0
2003-07-16,14.1159,14.5647,13.3,14.4831,6458796.0
2003-07-17,14.4831,15.707,14.6055,15.707,14524224.0
2003-07-18,15.707,16.930999999999997,16.319000000000003,16.930999999999997,12537698.0
2003-07-21,16.930999999999997,17.4205,16.2374,16.6454,13832623.0
2003-07-22,16.6454,17.1757,16.2374,16.6046,18866210.0
2003-07-23,16.6046,16.8494,16.319000000000003,16.6454,8719283.0
2003-07-24,16.6454,17.4205,16.8494,17.0126,13687728.0
2003-07-25,17.0126,17.5429,16.8902,17.135,10771559.0
2003-07-28,17.135,18.3997,17.3797,18.3997,15389334.0
2003-07-29,18.3997,19.4604,18.1957,18.7261,18793154.0
2003-07-30,18.7261,20.1132,18.7669,20.1132,18060763.0
2003-07-31,20.1132,21.5819,20.4396,21.5819,17722269.0
2003-08-01,21.5819,23.173000000000002,22.153000000000002,23.173000000000002,12206509.0
2003-08-04,23.173000000000002,24.8865,23.8257,24.8865,6134912.0
2003-08-05,24.8865,26.7224,26.7224,26.7224,1201169.0
2003-08-06,26.7224,28.7214,28.7214,28.7214,156462.0
2003-08-07,28.7214,30.8429,30.8429,30.8429,234998.0
2003-08-08,30.8429,33.1276,29.3334,29.3334,3875034.0
2003-08-11,29.3334,27.9055,27.9055,27.9055,219169.0
2003-08-12,27.9055,26.5184,26.5184,26.5184,70012.0
2003-08-13,26.5184,27.7015,25.2129,25.375999999999998,26370322.0
2003-08-14,26.5184,27.7015,25.2129,25.375999999999998,26370322.0
2003-08-15,25.375999999999998,26.8448,24.1113,24.1113,16219133.0
2003-08-18,24.1113,23.9889,22.9282,22.9282,6288940.0
2003-08-19,22.9282,22.3978,21.7859,21.7859,1772836.0
2003-08-20,21.7859,23.4178,20.7251,23.4178,15888553.0
